reference_time,target_time,kind,covariate_source,issued_at,model_id,code_version,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-08-01 10:00:00+00:00,2026-08-03 04:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.622723,18.458914,19.401663,19.98333,20.564999,21.507746,22.343939,10.044873,13.17696,16.765446,18.998281,21.23112,24.819603,27.951693,1002.2667,1007.7978,1013.60175,1017.04877,1020.49585,1026.2998,1031.8308
2026-08-01 10:00:00+00:00,2026-08-03 05:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.664518,18.50504,19.444944,20.022367,20.599792,21.539698,22.380219,10.2714,13.46311,17.169392,19.491777,21.814163,25.520443,28.712158,1002.0293,1007.62384,1013.48083,1016.95514,1020.4294,1026.2864,1031.881
2026-08-01 10:00:00+00:00,2026-08-03 06:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.74755,18.593262,19.536627,20.115417,20.69421,21.637575,22.483288,10.561854,13.925343,17.891258,20.396177,22.901098,26.867012,30.2305,1001.7623,1007.34155,1013.25183,1016.77997,1020.3081,1026.2185,1031.7976
2026-08-01 10:00:00+00:00,2026-08-03 07:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.918533,18.751606,19.685963,20.26088,20.835798,21.770155,22.603228,10.990973,14.527061,18.75884,21.452335,24.145828,28.377607,31.913698,1001.2732,1007.004,1013.02655,1016.60626,1020.186,1026.2085,1031.9393
2026-08-01 10:00:00+00:00,2026-08-03 08:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.106457,18.945808,19.888138,20.468258,21.048378,21.990705,22.83006,11.532183,15.346505,19.944136,22.881363,25.818592,30.416222,34.23055,1000.83777,1006.59875,1012.7142,1016.3687,1020.0233,1026.1387,1031.8997
2026-08-01 10:00:00+00:00,2026-08-03 09:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.251017,19.128412,20.112558,20.718134,21.32371,22.307856,23.185251,11.930942,16.020836,21.02341,24.243572,27.463734,32.466305,36.556202,1000.3034,1006.1304,1012.30743,1015.9962,1019.68494,1025.862,1031.689
2026-08-01 10:00:00+00:00,2026-08-03 10:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.430407,19.325214,20.334217,20.956821,21.579426,22.588428,23.483238,12.5362625,16.863829,22.215965,25.680773,29.14558,34.49772,38.825287,999.76,1005.6596,1011.94666,1015.7117,1019.4767,1025.7637,1031.6633
2026-08-01 10:00:00+00:00,2026-08-03 11:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.575163,19.507845,20.566332,21.221678,21.877024,22.93551,23.868193,12.643863,17.261265,23.02877,26.781498,30.534224,36.30173,40.91913,998.9819,1004.97485,1011.3621,1015.1874,1019.01263,1025.3999,1031.3928
2026-08-01 10:00:00+00:00,2026-08-03 12:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.70821,19.682518,20.788328,21.473,22.15767,23.26348,24.237787,12.925253,17.70457,23.689352,27.58846,31.487572,37.47235,42.25167,998.334,1004.36975,1010.87256,1014.78955,1018.70654,1025.2094,1031.2451
2026-08-01 10:00:00+00:00,2026-08-03 13:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.876688,19.866964,20.994,21.692822,22.391644,23.518677,24.508957,12.955123,17.873652,24.048325,28.076344,32.104362,38.279034,43.19757,997.4135,1003.55743,1010.1999,1014.20844,1018.2169,1024.8594,1031.0033
